No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
12,Spare_7,0,2024-07-10T15:21:15.887082,bit,1
13,Spare_8,0,2024-07-10T15:21:15.889917,bit,1
14,Spare_9,0,2024-07-10T15:21:15.891774,bit,1
8,65_LSH_02A,1,2024-07-10T15:21:15.893752,bit,1
3,65_SV_01_Status,0,2024-07-10T15:21:15.903236,int,1
2,65_VFBD_02_F,0.0,2024-07-10T15:21:15.914844,real,1
9,65_LSL_02A,1,2024-07-10T15:21:15.921784,bit,1
15,Spare_10,0,2024-07-10T15:21:15.924979,bit,1
4,65_SC_02_Status,0,2024-07-10T15:21:15.933884,int,1
10,65_LSH_03B_1,0,2024-07-10T15:21:15.941475,bit,1
3,Drying_Material,0,2024-07-10T15:21:15.943224,bit,1
5,65_EXF_01A_Status,0,2024-07-10T15:21:15.949612,int,1
3,65_SV_01_F,0.0,2024-07-10T15:21:15.951672,real,1
11,65_LSL_03B_1,0,2024-07-10T15:21:15.953741,bit,1
4,Heating_Material,0,2024-07-10T15:21:15.955341,bit,1
4,65_SC_02_F,0.0,2024-07-10T15:21:15.966998,real,1
12,65_LSH_04B_1,0,2024-07-10T15:21:15.969669,bit,1
13,65_LSL_04B_1,0,2024-07-10T15:21:15.971774,bit,1
14,65_LSH_05B_1,0,2024-07-10T15:21:15.974346,bit,1
6,65_EXF_01B_Status,0,2024-07-10T15:21:15.991754,int,1
15,65_LSL_05B_1,0,2024-07-10T15:21:16.003439,bit,1
5,Storage_Material,0,2024-07-10T15:21:16.005915,bit,1
6,65_RV_01B_Faulted,0,2024-07-10T15:21:16.007476,bit,1
5,65_EXF_01A_F,0.0,2024-07-10T15:21:16.008796,real,1
7,65_VFBD_01_Faulted,0,2024-07-10T15:21:16.015166,bit,1
7,65_EXF_01C_Status,0,2024-07-10T15:21:16.026099,int,1
8,65_VFBD_02_Faulted,0,2024-07-10T15:21:16.032621,bit,1
6,65_EXF_01B_F,0.0,2024-07-10T15:21:16.038800,real,1
9,65_SV_01_Faulted,0,2024-07-10T15:21:16.046313,bit,1
7,65_EXF_01C_F,0.0,2024-07-10T15:21:16.052435,real,1
10,65_SC_02_Faulted,0,2024-07-10T15:21:16.059466,bit,1
8,65_FD_01A_Status,0,2024-07-10T15:21:16.060906,int,1
9,65_FD_01B_Status,0,2024-07-10T15:21:16.067510,int,1
11,65_EXF_01A_Faulted,0,2024-07-10T15:21:16.069652,bit,1
10,65_FD_01C_Status,0,2024-07-10T15:21:16.087451,int,1
12,65_EXF_01B_Faulted,0,2024-07-10T15:21:16.089909,bit,1
13,65_EXF_01C_Faulted,0,2024-07-10T15:21:16.091249,bit,1
8,65_FD_01A_F,0.0,2024-07-10T15:21:16.102038,real,1
14,65_FD_01A_Faulted,0,2024-07-10T15:21:16.104722,bit,1
9,65_FD_01B_F,0.0,2024-07-10T15:21:16.116772,real,1
15,65_FD_01B_Faulted,0,2024-07-10T15:21:16.119117,bit,1
10,65_FD_01C_F,0.0,2024-07-10T15:21:16.138621,real,1
11,65_BC_01_Status,0,2024-07-10T15:21:16.171931,int,1
11,65_TT_01B,0.0,2024-07-10T15:21:16.178649,real,1
12,65_SC_01_Status,0,2024-07-10T15:21:16.191086,int,1
12,65_TT_02B,0.0,2024-07-10T15:21:16.217880,real,1
13,65_SC_03_Status,0,2024-07-10T15:21:16.219678,int,1
14,65_VRM_01_Status,0,2024-07-10T15:21:16.246667,int,1
15,65_SLG_01_Status,0,2024-07-10T15:21:16.268695,int,1
13,65_TT_03B,0.0,2024-07-10T15:21:16.271218,real,1
16,65_SLV_01_Status,0,2024-07-10T15:21:16.289278,int,1
17,65_DVV_01_Status,0,2024-07-10T15:21:16.296101,int,1
14,65_TT_04B,0.0,2024-07-10T15:21:16.319155,real,1
15,65_TT_05B,0.0,2024-07-10T15:21:16.330895,real,1
16,65_TT_06B,0.0,2024-07-10T15:21:16.370583,real,1
17,65_PT_01B,0,2024-07-10T15:21:16.396258,real,1
18,65_PT_02B,0,2024-07-10T15:21:16.432745,real,1
19,65_PT_03B,0,2024-07-10T15:21:16.460867,real,1
20,65_FT_01,0,2024-07-10T15:21:16.493119,real,1
21,65_TIDC_01B_Td,0.0,2024-07-10T15:21:16.526078,real,1
22,65_TIDC_01B_T,0.0,2024-07-10T15:21:16.560210,real,1
23,65_TIDC_01B_X,0.0,2024-07-10T15:21:16.587460,real,1
24,65_TIDC_01B_RH,0.0,2024-07-10T15:21:16.620859,real,1
25,65_TIDC_02B_Td,0.0,2024-07-10T15:21:16.647813,real,1
26,65_TIDC_02B_T,0.0,2024-07-10T15:21:16.680662,real,1
27,65_TIDC_02B_X,0.0,2024-07-10T15:21:16.723708,real,1
28,65_TIDC_02B_RH,0.0,2024-07-10T15:21:16.760950,real,1
29,Tota_Flow,0,2024-07-10T15:21:16.802212,real,1
30,65_WIT_01B,0,2024-07-10T15:21:16.835591,real,1
31,65_WIT_02B,0,2024-07-10T15:21:16.863290,real,1
32,65_PIDV_01_Value,0.0,2024-07-10T15:21:16.885778,real,1
33,65_PIDV_02_Value,0.0,2024-07-10T15:21:16.919034,real,1
34,65_PIDV_03_Value,0.0,2024-07-10T15:21:16.956823,real,1
16,65_LSH_03B_1,1,2024-07-10T15:22:29.986387,bit,1
17,65_PIDV_02_Status,1,2024-07-10T15:24:01.433519,bit,1
18,65_PIDV_03_Status,1,2024-07-10T15:24:21.787717,bit,1
0,65_RV_01B_Status,0,2024-07-10T15:32:30.009888,int,1
0,65_PIDV_01_Status,0,2024-07-10T15:32:30.015502,bit,1
0,66_LSH_01A,0,2024-07-10T15:32:30.017256,bit,1
0,65_FD_01C_Faulted,0,2024-07-10T15:32:30.019669,bit,1
1,65_BC_01_Faulted,0,2024-07-10T15:32:30.021833,bit,1
1,65_VFBD_01_Status,0,2024-07-10T15:32:30.028358,int,1
1,ESTOP,0,2024-07-10T15:32:30.031005,bit,1
2,Add_Material,0,2024-07-10T15:32:30.033336,bit,1
2,65_SC_01_Faulted,0,2024-07-10T15:32:30.036000,bit,1
3,65_SC_03_Faulted,0,2024-07-10T15:32:30.038110,bit,1
2,65_VFBD_02_Status,0,2024-07-10T15:32:30.045062,int,1
3,Drying_Material,0,2024-07-10T15:32:30.047831,bit,1
1,65_PIDV_02_Status,1,2024-07-10T15:32:30.050077,bit,1
4,65_VRM_01_Faulted,0,2024-07-10T15:32:30.057567,bit,1
3,65_SV_01_Status,0,2024-07-10T15:32:30.070340,int,1
4,65_SC_02_Status,0,2024-07-10T15:32:30.078554,int,1
0,65_RV_01B_F,0.0,2024-07-10T15:32:30.082333,real,1
4,Heating_Material,0,2024-07-10T15:32:30.084849,bit,1
2,65_PIDV_03_Status,1,2024-07-10T15:32:30.089555,bit,1
3,65_ZSI_01B,0,2024-07-10T15:32:30.091801,bit,1
4,65_ZSI_07B,0,2024-07-10T15:32:30.094313,bit,1
5,65_CSI_01B,0,2024-07-10T15:32:30.096411,bit,1
5,Storage_Material,0,2024-07-10T15:32:30.098056,bit,1
5,Spare_0,0,2024-07-10T15:32:30.099944,bit,1
6,Spare_1,0,2024-07-10T15:32:30.101551,bit,1
6,65_LSH_01B,0,2024-07-10T15:32:30.108517,bit,1
7,65_LSL_01B,0,2024-07-10T15:32:30.110426,bit,1
8,65_LSH_02A,1,2024-07-10T15:32:30.112118,bit,1
9,65_LSL_02A,1,2024-07-10T15:32:30.113922,bit,1
10,65_LSH_03B_1,1,2024-07-10T15:32:30.115588,bit,1
11,65_LSL_03B_1,0,2024-07-10T15:32:30.117396,bit,1
6,65_RV_01B_Faulted,0,2024-07-10T15:32:30.121475,bit,1
7,65_VFBD_01_Faulted,0,2024-07-10T15:32:30.123530,bit,1
8,65_VFBD_02_Faulted,0,2024-07-10T15:32:30.124758,bit,1
9,65_SV_01_Faulted,0,2024-07-10T15:32:30.126033,bit,1
10,65_SC_02_Faulted,0,2024-07-10T15:32:30.127238,bit,1
12,65_LSH_04B_1,0,2024-07-10T15:32:30.128564,bit,1
13,65_LSL_04B_1,0,2024-07-10T15:32:30.130067,bit,1
14,65_LSH_05B_1,0,2024-07-10T15:32:30.131526,bit,1
7,Spare_2,0,2024-07-10T15:32:30.132908,bit,1
11,65_EXF_01A_Faulted,0,2024-07-10T15:32:30.134462,bit,1
12,65_EXF_01B_Faulted,0,2024-07-10T15:32:30.135915,bit,1
1,65_VFBD_01_F,0.0,2024-07-10T15:32:30.137242,real,1
2,65_VFBD_02_F,0.0,2024-07-10T15:32:30.144325,real,1
5,65_EXF_01A_Status,0,2024-07-10T15:32:30.153411,int,1
13,65_EXF_01C_Faulted,0,2024-07-10T15:32:30.155761,bit,1
8,Spare_3,0,2024-07-10T15:32:30.157729,bit,1
9,Spare_4,0,2024-07-10T15:32:30.160313,bit,1
15,65_LSL_05B_1,0,2024-07-10T15:32:30.161894,bit,1
6,65_EXF_01B_Status,0,2024-07-10T15:32:30.167863,int,1
10,Spare_5,0,2024-07-10T15:32:30.174183,bit,1
11,Spare_6,0,2024-07-10T15:32:30.175860,bit,1
12,Spare_7,0,2024-07-10T15:32:30.177334,bit,1
3,65_SV_01_F,0.0,2024-07-10T15:32:30.183870,real,1
14,65_FD_01A_Faulted,0,2024-07-10T15:32:30.185555,bit,1
15,65_FD_01B_Faulted,0,2024-07-10T15:32:30.187811,bit,1
7,65_EXF_01C_Status,0,2024-07-10T15:32:30.194765,int,1
13,Spare_8,0,2024-07-10T15:32:30.196943,bit,1
14,Spare_9,0,2024-07-10T15:32:30.199219,bit,1
15,Spare_10,0,2024-07-10T15:32:30.200886,bit,1
8,65_FD_01A_Status,0,2024-07-10T15:32:30.206914,int,1
9,65_FD_01B_Status,0,2024-07-10T15:32:30.213146,int,1
10,65_FD_01C_Status,0,2024-07-10T15:32:30.242187,int,1
4,65_SC_02_F,0.0,2024-07-10T15:32:30.248627,real,1
5,65_EXF_01A_F,0.0,2024-07-10T15:32:30.285201,real,1
11,65_BC_01_Status,0,2024-07-10T15:32:30.293675,int,1
6,65_EXF_01B_F,0.0,2024-07-10T15:32:30.326672,real,1
12,65_SC_01_Status,0,2024-07-10T15:32:30.340238,int,1
13,65_SC_03_Status,0,2024-07-10T15:32:30.365302,int,1
7,65_EXF_01C_F,0.0,2024-07-10T15:32:30.377544,real,1
14,65_VRM_01_Status,0,2024-07-10T15:32:30.384300,int,1
15,65_SLG_01_Status,0,2024-07-10T15:32:30.406331,int,1
8,65_FD_01A_F,0.0,2024-07-10T15:32:30.414162,real,1
16,65_SLV_01_Status,0,2024-07-10T15:32:30.444465,int,1
9,65_FD_01B_F,0.0,2024-07-10T15:32:30.446225,real,1
17,65_DVV_01_Status,0,2024-07-10T15:32:30.479253,int,1
10,65_FD_01C_F,0.0,2024-07-10T15:32:30.485755,real,1
11,65_TT_01B,0.0,2024-07-10T15:32:30.502375,real,1
12,65_TT_02B,0.0,2024-07-10T15:32:30.529659,real,1
13,65_TT_03B,0.0,2024-07-10T15:32:30.578464,real,1
14,65_TT_04B,0.0,2024-07-10T15:32:30.606188,real,1
15,65_TT_05B,0.0,2024-07-10T15:32:30.650061,real,1
16,65_TT_06B,0.0,2024-07-10T15:32:30.683544,real,1
17,65_PT_01B,0,2024-07-10T15:32:30.710352,real,1
18,65_PT_02B,0,2024-07-10T15:32:30.743956,real,1
19,65_PT_03B,0,2024-07-10T15:32:30.771385,real,1
20,65_FT_01,0,2024-07-10T15:32:30.799140,real,1
21,65_TIDC_01B_Td,0.0,2024-07-10T15:32:30.833406,real,1
22,65_TIDC_01B_T,0.0,2024-07-10T15:32:30.866834,real,1
23,65_TIDC_01B_X,0.0,2024-07-10T15:32:30.890141,real,1
